0.png	9	-11	16	1	5.833008766174316
1.png	23	31	30	1	2.713656187057495
2.png	-19	6	17	0	2.303881883621216
3.png	-15	16	1	0	4.323929786682129
4.png	15	-8	17	0	1.317299723625183
5.png	3	0	7	1	3.704106569290161
6.png	-4	1	10	1	2.5739667415618896
7.png	26	-19	29	1	5.765684127807617
8.png	-13	-13	2	1	3.9334943294525146
9.png	-2	2	2	0	0.18478623032569885
10.png	-13	6	24	1	5.106849193572998
11.png	0	11	27	1	3.705793619155884
12.png	-9	1	14	0	2.9722416400909424
13.png	8	-21	10	0	0.6960588693618774
14.png	17	1	1	0	1.4805315732955933
15.png	35	-2	0	1	4.5780534744262695
16.png	1	0	13	1	0.456091970205307
17.png	0	22	10	0	0.3075777590274811
18.png	0	5	14	1	5.261955738067627
19.png	12	-4	16	0	1.7460856437683105
20.png	0	21	1	0	4.677336692810059
21.png	-17	-26	12	0	1.655626654624939
22.png	11	0	23	0	1.4761000871658325
23.png	-3	-23	11	0	2.583970069885254
24.png	12	-5	5	1	4.746598243713379
25.png	27	-27	22	0	1.0924657583236694
26.png	-5	-9	7	1	3.064391851425171
27.png	1	-10	28	0	2.175532341003418
28.png	-7	0	23	0	0.7278634905815125
29.png	-8	11	26	1	1.7892450094223022
30.png	9	10	14	1	5.58720588684082
31.png	0	-6	14	0	3.8572189807891846
32.png	-9	14	24	1	6.035825252532959
33.png	16	-13	22	1	1.8331918716430664
34.png	-14	7	25	0	5.117717742919922
35.png	3	-3	9	1	0.4276539087295532
36.png	0	-29	0	1	6.150114059448242
37.png	16	2	24	1	0.743798017501831
38.png	-7	-18	14	0	3.9053399562835693
39.png	1	-2	15	1	1.3979862928390503
40.png	-15	-24	14	0	2.4545562267303467
41.png	-1	-16	20	0	0.6876254677772522
42.png	25	8	3	1	2.955483913421631
43.png	13	0	4	1	4.07317590713501
44.png	-3	15	29	1	5.231628894805908
45.png	12	22	12	0	2.040712833404541
46.png	4	-1	5	0	4.388326644897461
